student_id,student_name,class,hobby,father_name,contact_number,address,bus_route
1,Rahul Reddy,6,Reading,Meera Varma,9826600539,"H.No. 759, Tarnaka, Hyderabad",Route-9
2,Sai Das,5,Music,Akash Sharma,9349817734,"H.No. 518, Begumpet, Hyderabad",Route-1
3,Divya Yadav,6,Coding,Madhavi Nair,9969119330,"H.No. 891, Ameerpet, Hyderabad",Route-3
4,Akash Mishra,6,Reading,Meera Naidu,9199585092,"H.No. 390, Kukatpally, Hyderabad",Route-6
5,Teja Kulkarni,10,Skating,Sneha Sharma,9234031070,"H.No. 997, Tarnaka, Hyderabad",Route-7
6,Sai Joshi,7,Music,Riya Kulkarni,9856528252,"H.No. 72, Ameerpet, Hyderabad",Route-11
7,Kavya Gupta,5,Coding,Sai Varma,9586845604,"H.No. 651, Nizampet, Hyderabad",Route-6
8,Ananya Agarwal,10,Badminton,Teja Yadav,9754049436,"H.No. 651, Miyapur, Hyderabad",Route-9
9,Pooja Patel,7,Skating,Rohit Iyer,9335809993,"H.No. 702, LB Nagar, Hyderabad",Route-1
10,Kavya Sharma,7,Music,Abhiram Iyer,9709004943,"H.No. 898, Manikonda, Hyderabad",Route-6
11,Saanvi Chowdary,6,Drawing,Likith Babu,9364814270,"H.No. 763, Secunderabad, Hyderabad",Route-9
12,Sneha Das,8,Dance,Akash Das,9248532577,"H.No. 522, Gachibowli, Hyderabad",Route-2
13,Vihaan Rao,10,Badminton,Nikhil Patel,9513140753,"H.No. 391, Begumpet, Hyderabad",Route-8
14,Sirisha Singh,10,Reading,Divya Reddy,9831980933,"H.No. 907, Secunderabad, Hyderabad",Route-5
15,Charan Rao,6,Cricket,Riya Nair,9875340444,"H.No. 897, Manikonda, Hyderabad",Route-5
16,Keerthi Patel,10,Story Writing,Keerthi Rao,9753876785,"H.No. 204, Miyapur, Hyderabad",Route-6
17,Ananya Joshi,9,Yoga,Sirisha Reddy,9120912992,"H.No. 115, Tarnaka, Hyderabad",Route-6
18,Priya Varma,9,Badminton,Vihaan Varma,9885879795,"H.No. 498, Nizampet, Hyderabad",Route-2
19,Madhavi Naidu,9,Coding,Kiran Chowdary,9666585408,"H.No. 894, Begumpet, Hyderabad",Route-7
20,Saanvi Joshi,8,Kabaddi,Ishita Gupta,9570406376,"H.No. 922, Secunderabad, Hyderabad",Route-8
21,Rahul Varma,7,Skating,Kavya Kumar,9347083812,"H.No. 603, Uppal, Hyderabad",Route-1
22,Arjun Sharma,5,Badminton,Kavya Kumar,9652070932,"H.No. 244, Dilsukhnagar, Hyderabad",Route-11
