teacher_id,teacher_name,teaching_subject,experience_years,teaching_classes,contact_number,joining_date
1,Murali Singh,Computer,8,"7,9",9683545743,08-02-2022
2,Geetha Sharma,Social Science,14,"7,9",9243753906,03-06-2020
3,Srinivas Nair,Math,14,"5,6,9",9966015789,10-10-2023
4,Anil Nair,Science,16,"6,9",9707536579,15-10-2024
5,Swapna Iyer,Social Science,3,"6,8",9167496657,06-12-2015
6,Raghu Naidu,Math,23,"7,9",9516711804,14-07-2020
7,Ravi Reddy,Math,22,"5,7,9",9996437267,28-11-2015
8,Murali Nair,Computer,7,"7,8,10",9731015334,27-08-2024
9,Ramesh Nair,Social Science,14,"8,9",9478921345,27-09-2017
10,Geetha Iyer,Computer,2,"5,6,8,10",9182772849,17-07-2021
11,Shilpa Naidu,Science,7,"7,9",9870197919,27-08-2012
12,Nandini Singh,Social Science,25,"8,10",9614345062,23-09-2014
13,Murali Sharma,English,2,"5,6",9715776454,15-04-2023
14,Anil Sharma,Computer,3,"5,6,8,10",9293313837,03-08-2021
15,Deepa Verma,Computer,22,"7,10",9192071758,10-11-2014
16,Ravi Verma,English,17,"6,8",9745145663,15-03-2013
17,Murali Sharma,Computer,23,"6,7,9,10",9740522822,01-04-2023
18,Ramesh Naidu,English,14,"5,10",9317270101,22-09-2021
19,Srinivas Singh,Science,21,"6,8",9760080817,15-06-2023
20,Mahesh Nair,Computer,5,"6,8",9747975975,04-02-2022
